clip,reference,kanji,kana,hybrid
BASIC5000_0070,bunsekinioitewakurutsuniyottesaishonibunsekisaretakenitekikoodoonoruikeeniotteerububungaookii,bunsekinioitewakurutsuniyottesaishonibunsekisaretakenitekikoodoonoruikeeniyotteerububungaookii,bunsekinioitehakurutsuniyottesaishonibunsekisaretakenidekikoodoonoruikeeniotteerububungaookii,bunsekinioitewakurutsuniyottesaishonibunsekisaretakenitekikoodoonoruikeeniyotteerububungaookii
BASIC5000_0071,sayonaraoiwanakerebanarimasen,sayonaraoiwanakerebanarimasen,sayonaraowanakerebanarimasen,sayonaraoiwanakerebanarimasen
BASIC5000_0072,saraniyokokaramirutomaebawadeppanojootainiarimasu,saraniyokokaramirutomaebawadeppanojootainiarimasu,saranikararutohanoniarimasu,saraniyokokaramirutomaebawadeppanojootainiarimasu
BASIC5000_0073,sarigenakusatoikonokoniwaukatsunakotowatotemoienai,sarigenakusatoruikonokoniwaukatsunakotowatotemoienai,sarigenakusatoikonokonihaukatsunakotohatotemoienai,sarigenakusatoruikonokoniwaukatsunakotowatotemoienai
BASIC5000_0074,joodannishirokyoofukaranishirokesshiteusooyuuna,joodannishirokyoofukaranishirokesshiteusooyuuna,joodannishirokyoofukaranishirokesshiteusooiuna,joodannishirokyoofukaranishirokesshiteusooyuuna
BASIC5000_0075,samonaitohigurenomaenisokonitsukenaideshoo,samonaitohigurenomaenisokonitsukenaideshoo,samonaitohigurenomaenisokonitsukenaideshoo,samonaitohigurenomaenisokonitsukenaideshoo
BASIC5000_0076,hishatainikizukarenaiyoonisoottokameraotoridashifaindaaonozoku,hishatainikizukarenaiyoonisoottokameraotoridashifaindaaonozoku,hishatainikizukarenaiyoonisoottokameraotoridashifaindaaonozoku,hishatainikizukarenaiyoonisoottokameraotoridashifaindaaonozoku
BASIC5000_0077,yamiyoniteppoojaarumaishisonnabaataritekinayarikatadeumakuikutowaomoenaiyo,anyaniteppoojaarumaishisonnabaataritekinayarikatadeumakuikutowaomoenaiyo,yamiyoniteppoojaarumaishisonnabaatarinayarikatadeumakuikutohaomoenaiyo,yamiyoniteppoojaarumaishisonnabaataritekinayarikatadeumakuikutowaomoenaiyo
BASIC5000_0078,sanzansewaoshitanoninannoaisatsumonai,sanzansewaoshitanoninannoaisatsumonai,sanzansewaoshitanoninannoaisatsumonai,sanzansewaoshitanoninannoaisatsumonai
BASIC5000_0079,taiheeyoowasekaideechibanookinataiyoodesu,taiheeyoowasekaideechibanookinataiyoodesu,taiheeyoohasekaideechibanookinataiyoodesu,taiheeyoowasekaideechibanookinataiyoodesu
BASIC5000_0080,jookyuukanrishokuwabukanokyooikuniookunojikanotsuiyasu,jookyuukanrishokuwabukanokyooikuniookunojikanotsuiyasu,jookyuukanrishokuhabukanokyooikuniookunojikanotsuiyasu,jookyuukanrishokuwabukanokyooikuniookunojikanotsuiyasu
BASIC5000_0081,zenbunogakuseegasokoeettawakedewanai,zenbunogakuseegasokoeettawakedewanai,zenbunogakuseegasokoheettawakedehanai,zenbunogakuseegasokoeettawakedewanai
BASIC5000_0082,atatakainomimonoogoyooishimashooka,atatakainomimonoogoyooishimashooka,atatakainomimonoogoyooishimashooka,atatakainomimonoogoyooishimashooka
BASIC5000_0083,gattonoshinketsugianwakanarinoshoogekioataerukanooseegaarimasu,gattonoshinketsugianwakanarinoshoogekioataerukanooseegaarimasu,gattonohakanarinooerugaarimasu,gattonoshinketsugianwakanarinoshoogekioataerukanooseegaarimasu
BASIC5000_0084,jikokunokotobanitsuiteikurakashittemoshirisugirukotowanai,jikokunokotobanitsuiteekurakashittemoshirisugirukotowanai,jikokunokotobanitsuiteekurakashittemoshirisugirukotohanai,jikokunokotobanitsuiteekurakashittemoshirisugirukotowanai
BASIC5000_0085,bunmeewaimayakakusensooniobiyakasareteeru,bunmeewaimayakakusensooniobiyakasareteeru,bunmeehaimayakakusensooniobiyakasareteeru,bunmeewaimayakakusensooniobiyakasareteeru
BASIC5000_0086,senseegakuwakagakutekinakonkyomonainonitotemoninkigaattesenseegakuwashinjiteeruhitogaooiyoodesu,senseegakuwakagakutekinakonkyomonainonitotemoninkigaattesenseegakuwashinjiteeruhitogaooiyoodesu,senseegakuhakagakutekinakonkyomonainonitotemoninkigaattesenseegakuhashinjiteeruhitogaooiyoodesu,senseegakuwakagakutekinakonkyomonainonitotemoninkigaattesenseegakuwashinjiteeruhitogaooiyoodesu
BASIC5000_0087,annojooanogyooshakyooninattenakitsuitekitayo,annojooanogyooshakyooninattenakitsuitekitayo,annojooanogyooshakyooninattenakitsuitekitayo,annojooanogyooshakyooninattenakitsuitekitayo
BASIC5000_0088,seemeenotootosaokangaetakotononaihitowaigakuokokorozasubekidewanai,seemeenotootosaokangaetakotononaihitowaigakuokokorozasubekidewanai,nosaoetakotononaihaosubekidehanai,seemeenotootosaokangaetakotononaihitowaigakuokokorozasubekidewanai
BASIC5000_0089,garufupootodeechibannofuraidochikintoittarasorewamooobaachannodaidokorodesuyo,garufupootodeechibannofuraidochikintoittarasorewamooobaachannodaidokorodesuyo,garufupootodenofuraidochikintoittarasorehamooobaachannodesuyo,garufupootodeechibannofuraidochikintoittarasorewamooobaachannodaidokorodesuyo
BASIC5000_0090,garireowafutatsunotetsunotamaotoonoteppenkaraotoshita,garireowatsunotetsunotamaotoonoteppenkaraotoshita,garireohafutatsunotetsunotamaotoonoteppenkaraotoshita,garireowatsunotetsunotamaotoonoteppenkaraotoshita
BASIC5000_0091,garasunohachiwakonagonaninatteshimatta,garasunobachiwakonagonaninatteshimatta,garasunohachihakonagonaninatteshimatta,garasunobachiwakonagonaninatteshimatta
BASIC5000_0092,bootowahirobakarakyooseetekinihaijosareta,bootowahirobakarakyooseetekinihaijosareta,bootohahirobakarakyooseetekinihaijosareta,bootowahirobakarakyooseetekinihaijosareta
BASIC5000_0093,hatsutaikennoaitewatoshiuenojoseedatta,hatsutaikennoaitewatoshiuenojoseedatta,hatsutaikennoaitehatoshiuenojoseedatta,hatsutaikennoaitewatoshiuenojoseedatta
BASIC5000_0094,dakyoosurunowawatashinoshuginihanshiteeru,dakyoosurunowawatakushinoshuginihanshiteeru,dakyoosurunohawatashinoshuginihanshiteeru,dakyoosurunowawatakushinoshuginihanshiteeru
BASIC5000_0095,keezaigakunohonogosatsurondonnichuumonshita,keezaigakunohonosatsurondonnichuumonshita,keezaigakunohonogosatsurondonnichuumonshita,keezaigakunohonosatsurondonnichuumonshita
BASIC5000_0096,gaadenfensuoshikyuuhaitatsushitekudasai,gaadenfensuoshikyuuhaitatsushitekudasai,gaadenfensuoshitekudasai,gaadenfensuoshikyuuhaitatsushitekudasai
BASIC5000_0097,ganwaarushunooirusutokankeegaarukamoshirenai,ganwaarushunooirusutokankeegaarukamoshirenai,ganhaarunooirusutogaarukamoshirenai,ganwaarushunooirusutokankeegaarukamoshirenai
BASIC5000_0098,subeteosutetekonoresutoranoyarumokutekiwahitotsudakedeshita,subeteosutetekonoresutoranoyarumokutekiwahitotsudakedeshita,subeteotetekonoresutoranoyaruhatsudakedeshita,subeteosutetekonoresutoranoyarumokutekiwahitotsudakedeshita
BASIC5000_0099,uwayakunihantaisurukotowakaremoyuukinoaruotokoda,uwayakunihantaisurukotowakaremoyuukinoaruotokoda,uwayakunihantaisurukotohakaremoyuukinoaruotokoda,uwayakunihantaisurukotowakaremoyuukinoaruotokoda
BASIC5000_0100,tanaokatazukenasaisoosurebahonosokoeokemasu,tanaokatazukenasaisoosurebahonosokoeokemasu,tanaokatazukenasaisoosurebahonosokoheokemasu,tanaokatazukenasaisoosurebahonosokoeokemasu
BASIC5000_0101,zattomitsumottesonoshigotowanishuukankakarudaroo,zattomitsumottesonoshigotowashuukankakarudaroo,zattomitsumottesonoshigotohanishuukankakarudaroo,zattomitsumottesonoshigotowashuukankakarudaroo
BASIC5000_0102,chuushokunotamejuunijikaraichijimadeichijikannoyasumigaaru,chuushokunotamejikarajimadejikannoyasumigaaru,chuushokunotamejuunijikaraichijimadeechijikannoyasumigaaru,chuushokunotamejikarajimadejikannoyasumigaaru
BASIC5000_0103,shachuuniwasukunakutomogoninnojookyakugaimashita,shachuuniwasukunakutomoninnojookyakugaimashita,shachuunihasukunakutomoninnojookyakugaimashita,shachuuniwasukunakutomoninnojookyakugaimashita
BASIC5000_0104,zookasurujuyoonioojirutameamerikakaragyuunikuotsuikasurukeekakuda,zookasurujuyoonioojirutameamerikakaragyuunikuotsuikasurukeekakuda,surunijirutameamerikakaraosuruda,zookasurujuyoonioojirutameamerikakaragyuunikuotsuikasurukeekakuda
BASIC5000_0105,sharyoowakekkanganaikasaiteesankagetsuniikkaikensasareru,sharyoowakekkanganaikasaiteekagetsunikaikensasareru,sharyoohakekkanganaikasaiteesankagetsuniikkaikensasareru,sharyoowakekkanganaikasaiteekagetsunikaikensasareru
BASIC5000_0106,nanjijishinnishinjitsudearenanjimizukarataninniitsuwarinakigotoku,nanjijishinnishinjitsudearenanjijimizukarataninniitsuwarinakigotoku,nanjijishinnishinjitsudearenanjimizukarataniniitsuwarinakigotoku,nanjijishinnishinjitsudearenanjijimizukarataninniitsuwarinakigotoku
BASIC5000_0107,kyoozamenohitomoyokushiruyooninarutokanarazushimofukaidewanai,nohitomoyokushiruyooninarutokanarazushimofukaidewanai,kyoozamenohitomoyokushiruyooninarutokanarazushimofukaidehanai,nohitomoyokushiruyooninarutokanarazushimofukaidewanai
BASIC5000_0108,kandannaibukkajooshoonokekkashakaifuangaokorukamoshirenai,kantannaibukkajooshoonokekkashakaifuangaokorukamoshirenai,kandannaibukkajooshoonokekkashakaifuangaokorukamoshirenai,kantannaibukkajooshoonokekkashakaifuangaokorukamoshirenai
BASIC5000_0109,fukurowatoomorokoshidehachikiresoodatta,fukurowatoomorokoshidehachikiresoodatta,fukurohatoomorokoshidehachikiresoodatta,fukurowatoomorokoshidehachikiresoodatta
BASIC5000_0110,niyaritowarattesanseenoishioshimeshita,niyaritowarattesanseenoishioshimeshita,niyaritottenooshita,niyaritowarattesanseenoishioshimeshita
BASIC5000_0111,saigonoshudantoshitewaitsudemoshokuoyamerarerutokarewakangaeta,saigonoshudantoshitewaitsudemoshokuoyamerarerutokarewakangaeta,saigonoshudantoshitehaitsudemoshokooyamerarerutokarehakangaeta,saigonoshudantoshitewaitsudemoshokuoyamerarerutokarewakangaeta
BASIC5000_0112,niwatorigatabemonoosagashiteemashita,niwatorigatabemonoosagashiteemashita,niwatorigatabemonoosagashiteemashita,niwatorigatabemonoosagashiteemashita
BASIC5000_0113,mattakuguuzenniwatashiwamukashinoyuujintokuukoodedeatta,mattakuguuzenniwatakushiwamukashinoyuujintokuukoodedeatta,mattakuguuzenniwatashihamukashinoyuujintokuukoodedeatta,mattakuguuzenniwatakushiwamukashinoyuujintokuukoodedeatta
BASIC5000_0114,sannentoyuuwanagaijikandatowatashiwaomoo,nentoiuwanagaijikandatowatakushiwaomoo,sannentoiuhanagaijikandatowatashihaomoo,nentoiuwanagaijikandatowatakushiwaomoo
BASIC5000_0115,ninnikuoyoojinshitetaberebatameninaru,ninnikuoyoojinshitetaberebatameninaru,ninnikuoyoojinshitetaberebatameninaru,ninnikuoyoojinshitetaberebatameninaru
BASIC5000_0116,fuyubaniatatakaikakkoooshiteenaitokekkyokuhidoikazeohikuhameninaru,fuyubaniatatakaikakkoooshiteenaitokekkyokuhidoikazeohikuhameninaru,fuyubaniatatakaikakkoooshiteenaitokekkyokuhidoikazeohikuhameninaru,fuyubaniatatakaikakkoooshiteenaitokekkyokuhidoikazeohikuhameninaru
BASIC5000_0117,shumiwanichijooseekatsunokurooowasuresasetekureru,shumiwanichijooseekatsunokurooowasuresasetekureru,shumihanichijooseekatsunokurooowasuresasetekureru,shumiwanichijooseekatsunokurooowasuresasetekureru
