clip,ref_text,reference,kanji,kana,hybrid,mecab_only
common_voice_ja_39123803.mp3,てめーは俺を怒らせた,teme-waoreookoraseta,temeewaoreookoraseta,temeehaorewooboraseta,temeewaoreookoraseta,temeewaoreookoraseta
common_voice_ja_45178620.mp3,お釣りが違っていると思います。,otsurigachigatteirutoomoimasu。,butsurigachigatteirutoomoimasu。,osurigachigatteirutoomoimasu,butsurigachigatteirutoomoimasu。,butsurigachigatteirutoomoimasu。
common_voice_ja_45181757.mp3,これは黒色のボールペンです。,korewakuroironobo-rupendesu。,korewakuroironobo-rupendesu,korehakuroironobo-rupendesu,korewakuroironobo-rupendesu,korewakuroironobo-rupendesu
common_voice_ja_39013598.mp3,ラ・リオハ県の県都はログローニョである,ラ・riohakennokentowaログロ-ニョdearu,shisutemuTSS,shisutemu、TSS,shisutemuTSS,shisutemuTSS
common_voice_ja_44905991.mp3,七夕の日に、短冊へ願い事を書くのはどうして始まったんだろう。,tanabatanohini、tanzakuenegaigotookakunowadoushitehajimattandarou。,tanabatanohinitanzakuenonegaigotookakunowadoushitehajimattandarou。,tanabatanohinitanzakuennegaigotowokakunohadoushitehajimattandarou,tanabatanohinitanzakuenonegaigotookakunowadoushitehajimattandarou。,tanabatanohinitanzakuenonegaigotookakunowadoushitehajimattandarou。
common_voice_ja_39087839.mp3,アリアリアリアリアリアリアリアリ！！アリーヴェデルチ！！,アリアリアリアリアリアリアリアリ！！アリ-ヴェデルチ！！,adeiadeiadeiアディアディアディアディアディアディベルデレチ,ariariariariariariariariari-beruderuchi,adeiadeiadeiアディアディアディアディアディアディベルデレチ,adeiadeiadeiアディアディアディアディアディアディベルデレチ
common_voice_ja_22072759.mp3,財布をなくしたので、交番へ行きます。,saifuonakushitanode、koubaneikimasu。,saifuonakushitanodekoubanniikimasu。,saifuwonakushitanodekoubanneheikimasu,saifuonakushitanodekoubanniikimasu。,saifuonakushitanodekoubanniikimasu。
common_voice_ja_23677003.mp3,背の高さは一七〇センチほどで、目が大きく、やや太っている。,senotakasawaichinanareisenchihodode、megaookiku、yayafutotteiru。,senotakasawa170senchihodode、megaookikuyayafutotteiru。,senotakasaha170senchihodode、megaookikuyayafutotteiru,senotakasawa170senchihodode、megaookikuyayafutotteiru。,senotakasawa170senchihodode、megaookikuyayafutotteiru。
common_voice_ja_41748688.mp3,小説を読む,shousetsuoyomu,omachishiteorimasu,go視聴arigatougozaimashita,omachishiteorimasu,omachishiteorimasu
common_voice_ja_41781619.mp3,甘すぎて気持ちが悪くなっただけ,amasugitekimochigawarukunattadake,amasugitekimochigawarukunattadake,amasugitekimochigawarukunattadake,amasugitekimochigawarukunattadake,amasugitekimochigawarukunattadake
common_voice_ja_41757379.mp3,巨人軍は優勝した。,kyojingunwayuushoushita。,kyojingunwayuushoushita,巨人軍ha優勝shita,kyojingunwayuushoushita,kyojingunwayuushoushita
common_voice_ja_44906786.mp3,七夕の日に、短冊へ願い事を書くのはどうして始まったんだろう。,tanabatanohini、tanzakuenegaigotookakunowadoushitehajimattandarou。,tanabatanohinitanzakuenegaigotookakunowadoushitehajimattandarou,tanabatanohinitanzakuhenegaigotowokakunohadoushitehajimattandarou,tanabatanohinitanzakuenegaigotookakunowadoushitehajimattandarou,tanabatanohinitanzakuenegaigotookakunowadoushitehajimattandarou
common_voice_ja_45177428.mp3,暖かくして寝てね。,atatakakushitenetene。,atatakakushitenetene,atatakakushitenetene,atatakakushitenetene,atatakakushitenetene
common_voice_ja_41767892.mp3,それがあなたの本心なの,soregaanatanohonshinnano,soregaanatanohonshinnano。,soregaanatanohonshinnano,soregaanatanohonshinnano。,soregaanatanohonshinnano。
common_voice_ja_45176882.mp3,ブランドポートフォリオ,burandopo-toforio,burandopo-toforio,burandopo-toforio,burandopo-toforio,burandopo-toforio
common_voice_ja_44639475.mp3,ぎこちない笑いをした店員が答えた。,gikochinaiwaraioshitateningakotaeta。,gikochinaiwaraioshitateningakotaeta,gikochinaiwaraiwoshitateingakotaeta,gikochinaiwaraioshitateningakotaeta,gikochinaiwaraioshitateningakotaeta
common_voice_ja_41746688.mp3,彼はネットのビデオを見て料理を学んだ。,karewanettonobideoomiteryouriomananda。,karewanettonobideoomiteryouriomananda,karehanettonobideowomiteryouriwomananda,karewanettonobideoomiteryouriomananda,karewanettonobideoomiteryouriomananda
common_voice_ja_42128589.mp3,業として他人の就業に介入して利益を得てはならない。,goutoshitetaninnoshuugyounikainyuushiteriekioetewanaranai。,nariwaitoshitetaninnoshuugyounikainyuushiteriekioetewanaranai,nariwaitoshite他人no就業ni介入shite利益wo得tehanaranai,nariwaitoshitetaninnoshuugyounikainyuushiteriekioetewanaranai,nariwaitoshitetaninnoshuugyounikainyuushiteriekioetewanaranai
common_voice_ja_38987912.mp3,京都府城陽市,kyoutofujouyoushi,,,,
common_voice_ja_45179967.mp3,君が好きだ。,kimigasukida。,kimigasukida,kiminosukida,kimigasukida,kimigasukida
common_voice_ja_44612193.mp3,富があっても、彼は満足していない。,tomigaattemo、karewamanzokushiteinai。,tomigaattemokarewamanzokushiteinai,tomigaattemokadahamanzukushiteinai,tomigaattemokarewamanzokushiteinai,tomigaattemokarewamanzokushiteinai
common_voice_ja_36350677.mp3,まじめかよ、とバカにされてもそれが最善,majimekayo、tobakanisaretemosoregasaizen,goshichouarigatougozaimashita,go視聴arigatougozaimashita,goshichouarigatougozaimashita,goshichouarigatougozaimashita
common_voice_ja_39779975.mp3,トリガー、オンッ,toriga-、onxtsu,toriga-on,otorigaomu,toriga-on,toriga-on
common_voice_ja_38898592.mp3,小悪魔は、「助けて下さい。打たないで下さい。あなたのおっしゃることならなんでもいたします。」とたのみました。,shouakumawa、「tasuketekudasai。utanaidekudasai。anatanoossharukotonaranandemoitashimasu。」totanomimashita。,saigonoyuukifurishibotte,saigonoyuukikurishibotte,saigonoyuukifurishibotte,saigonoyuukifurishibotte
common_voice_ja_41780365.mp3,神奈川県横浜市緑区長津田町,kanagawakenyokohamashimidorikunagatsutamachi,goshichouarigatougozaimashita,oyasuminasai,goshichouarigatougozaimashita,goshichouarigatougozaimashita
common_voice_ja_38949696.mp3,「おやおや、汚いやつめまた出て来やがったな。」とイワンは言いました。,「oyaoya、kitanaiyatsumematadetekiyagattana。」toiwanwaiimashita。,,,,
common_voice_ja_39034554.mp3,アイオワ州の州都はデモインである,aiowashuunoshuutowademoindearu,saa,saa,saa,saa
common_voice_ja_45172300.mp3,こんにちは、今日は快晴だね！！！一緒に散歩にでも行かない？そのあとはカフェとか行ってゆっくり過ごそうよ,konnichiha、kyouwakaiseidane！！！isshonisanponidemoikanai？sonoatowakafetokaitteyukkurisugosouyo,konnichiha。kyouwauminishidane。isshonisanponidemoikanai?sonoatowakafetokaitteyukkurisugosouyo。,konnichiha 今日ha改正dane 一緒ni散歩nidemo行kanai? sono後hakafetoka行tteyukkuri過gosouyo,konnichiha。kyouwauminishidane。isshonisanponidemoikanai?sonoatowakafetokaitteyukkurisugosouyo。,konnichiha。kyouwauminishidane。isshonisanponidemoikanai?sonoatowakafetokaitteyukkurisugosouyo。
common_voice_ja_45183253.mp3,最近全然会ってくれないね。,saikinzenzenattekurenaine。,saikinzenzenattekurenaine,saikinzenzenattekurenaine,saikinzenzenattekurenaine,saikinzenzenattekurenaine
common_voice_ja_38913911.mp3,車が動きだしてから、四時間もした頃のことです。何か故障のため、車はしばらく停まっていましたが、,kurumagaugokidashitekara、yonjikanmoshitakoronokotodesu。nankakoshounotame、kurumawashibarakutomatteimashitaga、,kurumagaugokidashitekara4jikanmoshitakoronokotodesunankakoshouninattemokurumawashibarakutomatteimashitaga,kurumagaugokidashitekarayoijikanmoshitakoronokotodesunadekakushouninattemokurumahashibarakutomatteimashitaga,kurumagaugokidashitekara4jikanmoshitakoronokotodesunankakoshouninattemokurumawashibarakutomatteimashitaga,kurumagaugokidashitekara4jikanmoshitakoronokotodesunankakoshouninattemokurumawashibarakutomatteimashitaga
common_voice_ja_19499629.mp3,新しい靴をはいて出かけます。,atarashiikutsuohaitedekakemasu。,atarashiikutsuohaitedekakemasu。,mitarashiikutsuwohaitedekakemasu,atarashiikutsuohaitedekakemasu。,atarashiikutsuohaitedekakemasu。
common_voice_ja_39028774.mp3,口には出さなくとも、そのことがわかった。僕もそうだったから。,kuchiniwadasanakutomo、sonokotogawakatta。bokumosoudattakara。,kuchiniwadasanakutemosonokotogawakattabokumosoudattakara,kuchinihanasanakutemosonokotogawakattabokumosoudattakara,kuchiniwadasanakutemosonokotogawakattabokumosoudattakara,kuchiniwadasanakutemosonokotogawakattabokumosoudattakara
common_voice_ja_30615849.mp3,家族といえども言葉で伝えるのは大事,kazokutoiedomokotobadetsutaerunowadaiji,kazokutoiedomokotobadetsutaerunowadaiji。,kazokutoiedomokotobadetsutaerunohadaiji,kazokutoiedomokotobadetsutaerunowadaiji。,kazokutoiedomokotobadetsutaerunowadaiji。
common_voice_ja_45145679.mp3,生死を共にすることを約束し、共に苦労し努力すること。,seishiotomonisurukotooyakusokushi、tomonikuroushidoryokusurukoto。,,,,
common_voice_ja_39083416.mp3,ひいい,hiii,ii,hi,ii,ii
common_voice_ja_41746013.mp3,こういうのをやらせたら面白そう,kouiunooyarasetaraomoshirosou,kouiunoyarasetaraomoshirosou,kouiunoyarasetaraomoshirosou,kouiunoyarasetaraomoshirosou,kouiunoyarasetaraomoshirosou
common_voice_ja_39159928.mp3,この目の中に映るものは情熱だけだ,konomenonakaniutsurumonowajounetsudakeda,konomenonakaniutsurumonowajounetsudakeda。,konomenonakaniutsurumonohajounetsudakeda,konomenonakaniutsurumonowajounetsudakeda。,konomenonakaniutsurumonowajounetsudakeda。
common_voice_ja_41776640.mp3,あなたの好きな季節は何ですか？,anatanosukinakisetsuwanandesuka？,anatanosukinakisetsuwanandesuka,anatano好kina季節ha何desuka,anatanosukinakisetsuwanandesuka,anatanosukinakisetsuwanandesuka
common_voice_ja_41110254.mp3,早くこの課題を終わらせたいです,hayakukonokadaioowarasetaidesu,hayakukonokadaioowarasetaidesu。,hayakukonokadaiwoowarasetaidesu,hayakukonokadaioowarasetaidesu。,hayakukonokadaioowarasetaidesu。
common_voice_ja_39281104.mp3,あんぽんたん,anpontan,,,,
